lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type,method,ra,age_days,trial_order,session_error,session_error_type,notes,second_session,lang_group,lang1,lang1_exposure,lang2,lang2_exposure,lang3,lang3_exposure,caregiver_seat,macarthur_ladder,parenta_gender,parenta_education,parentb_gender,parentb_education,preterm,days_preterm,prev_earinfection,curr_earinfection,hearing_vision,hearing_vision_info,cognitive_developmental,cognitive_developmental_info,sib1_age,sib1_gender,sib2_age,sib2_gender,sib3_age,sib3_gender,sib4_age,sib4_gender,tod,season,race_ethnicity,gender,lang4,lang4_exposure,bilingual_nae,bilingual_parenta_nae,bilingual_parentb_nae,bilingual_interview_lang,beard,ratype,childcare,visits,household_size,last_feed_min,last_sleep_min,termtime,popnum,popkm2,subid_unique
irlconcordia,mb6s01,IDS,IDS2,3.0,8.03,14.417,noerror,,eyetracking,EML,229.0,1.0,noerror,,,N,monolingual,english,92.0,french,6.0,spanish,2.0,caregiver,7.0,F,16.0,M,15.0,term,,N,N,N,,N,,5,F,,,,,,,1400.0,summer,european,M,,,92.0,regularly,regularly,preferred,,graduate,,,,,,not in session,,,irlconcordia:mb6s01
babylabparisdescartes1,lpp14o22,ADS,finalADS2new,3.0,11.864,17.998,noerror,,HPP,Katie,441.0,2.0,,,just started to wean off breast feeding,N,Monolingual,French,100.0,,,,,caregiver,,M,17.0,F,17,term,,No,No,N,,N,,12.0,M,7.0,F,,,,,1100,Summer,,M,,,,,,,no_beard,postgraduate,,,,,,,,,babylabparisdescartes1:lpp14o22
chosunbaby,h96y57,ADS,ADS1,1.0,16.531,16.531,noerror,,HPP,KIM,229.0,2.0,noerror,,,N,monolingual,Korean,100.0,,,,,caregiver,,F,16,M,16,term,,no,no,N,,N,,,,,,,,,,,Spring,Asian,M,,,,,,,no_beard,undergraduate,,,,,,,,,chosunbaby:h96y57
ldlottawa,mbms07,IDS,IDS2,4.0,8.19,13.24667,noerror,,single screen,Chris,262.0,2.0,noerror,,,N,Monolingual,English,100.0,,,,,Caregiver,,F,21,M,19,term,,N,N,N,N,N,N,,,,,,,,,,winter,,F,,,,,,,beard,professor,,,,,,in session,,,ldlottawa:mbms07
icclbc,12,IDS,IDS3,7.0,16.549,18.05,noerror,,Single Screen,Sophie,213.0,4.0,noerror,,,N,Monolingual,English,100.0,,,,,seat,,F,18.0,M,18.0,term,,N,N,N,,N,,3,F,,,,,,,900.0,Spring,White,F,,,,,,,no_beard,graduate,,,,,,in session,198753.0,77.0,icclbc:12
pocdnorthwestern,mb2,Training,train1,1.0,13.6878,20.0,noerror,,Eyetracking,Brooke,434.0,1.0,noerror,,fussed out,N,Monolingual,English,100.0,,,,,caregiver,7.0,F,19,M,16,term,,No,No,N,,N,,,,,,,,,,,Summer,Caucasian and Black,F,,,,,,,no_beard,postgraduate,,,,,,not in session,,,pocdnorthwestern:mb2
bllumanitoba,1838,IDS,IDS5,9.0,12.127,16.248,error,fussy baby,HPP,Kelsey,422.0,2.0,noerror,,,N,monolingual,English,100.0,,,,,caregiver,6.0,F,16.0,M,14,term,,N,N,N,,N,,,,,,,,,,1830.0,Summer,Caucasian,M,,,100.0,regularly,regularly,preferred,no_beard,undergraduate,Baby stays at home with mom. The past three months mom also looks after three other infants at home during the day.,,2.0,,,in session,189468.0,77.0,bllumanitoba:1838
udssaarland,78,ADS,ADS-5,12.0,2.2156500816,4.237621069,noerror,,SingleScreen,Exp2,337.0,2.0,noerror,,,N,monolingual,German,100.0,,,,,caregiver,7.0,F,18,M,18,term,,N,N,N,N,N,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,udssaarland:78
babylabreading,mb1,ADS,ADS8,15.0,17.2,18.0,noerror,,single screen,JL,471.0,1.0,noerror,,,N,Monolingual,English,100.0,,,,,caregiver,7.0,F,15,M,16,term,,N,N,N,,N,,,,,,,,,,,,Caucasian,M,,,,,,,,,,,,,,,,,babylabreading:mb1
babylabkonstanz,mb11,ADS,ADS1,6.0,11.65,18.02,noerror,,HPP,Ka,255.0,4.0,noerror,,,N,Monolingual,German,100.0,,,,,caregiver,4.5,F,22.0,M,23,term,,No,No,N,,,,,,,,,,,,,,Caucasian,M,,,,,,,no,PhD-student,,,,,,,,,babylabkonstanz:mb11
babylabbrookes,mb88,ADS,ADS6,13.0,1.9,,noerror,,Single Screen,N1,381.0,4.0,noerror,,0,N,Monolingual,English,100.0,,,,,caregiver,,F,16.0,M,20,term,,No,No,N,,N,,,,,,,,,,,,,F,,,,,,,no_beard,postgraduate,Family,,,,,,,,babylabbrookes:mb88
kokuhamburg,mb12,training,train1,-2.0,10.43,18.0,noerror,,Eyetracking,Susanne,423.0,4.0,noerror,,,N,Monolingual,German,100.0,,,,,caregiver,,F,16.0,M,16.0,term,,No,No,N,,N,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,kokuhamburg:mb12
infantcogubc,ac31,ADS,ADS2,10.0,0.75,2.75,noerror,,SingleScreen,Vivian,149.0,4.0,error,Does not meet language criteria,Baby qualified for study's language requirements at time of booking. At visit parent's informed us that baby was bilingual after the study was run. Does not meet language criteria,N,Bilingual,English,50.0,Mandarin,30.0,Cantonese,20.0,caregiver,,F,16.0,M,16.0,term,,N,N,N,,N,,,,,,,,,,,,East/Southeast Asia,F,,,,,,,,,,,,,,,,,infantcogubc:ac31
jmucdl,40017,IDS,IDS1,1.0,0.0,18.0,error,out of frame,Eyetracking,KVJ,429.0,1.0,error,technical difficulty,,N,monolingual,English,100.0,,0.0,,0.0,caregiver,,F,18.0,M,16.0,preterm,19.0,Y,N,N,,N,,3,F,,,,,,,,,White,F,,0.0,,,,,,,,,,,,,,,jmucdl:40017
infantcogubc,tm29,IDS,IDS6,12.0,17.27,18.0,noerror,,SingleScreen,Ali/Stacy,106.0,2.0,noerror,,,N,monolingual,English,100.0,,,,,caregiver,,F,20.0,M,12.0,term,,N,N,N,,N,,,,,,,,,,,,European & Aboriginal & Canadian/American,M,,,,,,,,,,,,,,,,,infantcogubc:tm29
babylablmu,64,ADS,ADS8,15.0,,,error,experiment ended early,Eyetracking,Anja,432.0,1.0,error,pilot participant,pilot participant,N,Monolingual,German,90.0,Bayerisch,10.0,,,seat,6.0,F,16,M,18,term,,No,No,N,,N,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,babylablmu:64
pocdnorthwestern,mb5,IDS,IDS7,5.0,10.3038,19.499,noerror,,Eyetracking,Brooke,429.0,4.0,noerror,,did great!,N,Monolingual,English,97.0,Italian,3.0,,,caregiver,,F,16,M,22,term,,No,No,N,,N,,,,,,,,,,,Summer,Caucasian,F,,,,,,,no_beard,postgraduate,,,,,,not in session,,,pocdnorthwestern:mb5
babylabyork,eoi810,ADS,ADS3,7.0,7.8,7.8,noerror,,SingleScreen,CC,285.0,3.0,noerror,,,N,Monolingual,English,100.0,,,,,caregiver,4.0,F,18.0,M,14,term,,N,N,N,,N,,,,,,,,,,,Spring,,F,,,,,,,no_beard,postgraduate,,,,,,in session,,,babylabyork:eoi810
cogdevlabbyu,p62,IDS,IDS5,9.0,19.5,19.5,noerror,,eye-tracking,Lacy E.,94.0,2.0,error,Language Exclusion,Trial 16; Marked 60% english on questionaire,N,monolingual,English,60.0,Cebuano,40.0,,,caregiver,,M,18,F,16,Y,21.0,N,N,N,,N,,1,F,,,,,,,,,"White,Asian",M,,,,,,,,,,,,,,,,,cogdevlabbyu:p62
udssaarland,83,ADS,ADS-3,10.0,5.5613598824,8.5219147205,noerror,,SingleScreen,Exp2,385.0,4.0,noerror,,,N,monolingual,German,100.0,,,,,caregiver,8.0,M,13,F,16,term,,N,N,N,N,N,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,udssaarland:83
irlconcordia,mb12s39,IDS,IDS2,3.0,13.61,18.045,noerror,,eyetracking,MM,399.0,1.0,noerror,,,N,monolingual,english,100.0,,,,,caregiver,7.0,M,18.0,F,15.0,term,,N,N,N,,N,,3,F,,,,,,,1030.0,spring,european,M,,,100.0,regularly,regularly,preferred,,undergraduate,home with mom all day,,3.0,180,270,not in session,,,irlconcordia:mb12s39
bllumanitoba,4718,ADS,ADS5,9.0,4.471,6.477,noerror,,HPP,Kelsey,284.0,1.0,noerror,,"Squirmy baby, but codable.",N,monolingual,English,96.0,French,4.0,,,caregiver,7.0,F,16.0,M,17,term,,N,N,N,,N,,3.0,M,,,,,,,1100.0,Summer,Caucasian,M,,,96.0,regularly,regularly,preferred,no_beard,undergraduate,Baby stays home with mom.,,3.0,,,not in session,197478.0,77.0,bllumanitoba:4718
weltentdeckerzurich,mb13782,IDS,IDS7,13.0,0.0,2.0,error,too fussy,Eyetracking,Leonie,379.0,1.0,error,child,child cried a lot. Experiment ended early,N,Bilingual,Swissgerman,52.0,Polish,48.0,,,seat,,F,14,M,17,term,,N,N,N,,N,,,,,,,,,,1400,Winter,,F,,,0.0,,,preferred,no_beard,undergraduate,goes to daycare,,,,,not in session,285362.0,79.0,weltentdeckerzurich:mb13782
labunam,5700,ADS,ADS2,3.0,123.0,12145.0,noerror,,eye-tracking,,408.0,2.0,No error,,,N,monolingual,spanish,100.0,english,1.0,,,caregiver,,f,17,m,17,Term,,N,N,N,N,N,N,15,f,11.0,m,,,,,,,hispanic/latin,f,,,,,,,,,no,,,,,,,,labunam:5700
langlabucla,mb304,IDS,IDS-6,13.0,2.896,5.197,error,Baby starts crying,HPP,VM,165.0,4.0,noerror,,,N,monolingual,English,97.0,Tagalog,1.0,Hindi,1.0,caregiver,,F,16,M,16,term,,N,N,N,,N,,5,F,,,,,,,,,Asian (from India),M,Sindhi,1.0,,,,,,,,,,,,,,,langlabucla:mb304
lancaster,14mb15,ADS,ADS-5,4.0,0.0,2.002975999,,,single screen,Charlotte,411.0,3.0,noerror,,Tech fault before trials started but fixed. Crying on trial 15,N,monolingual,English,100.0,,0.0,,0.0,caregiver,,F,11.0,,,term,,N,,N,,,,,,,,,,,,,,White British,F,,0.0,,,,,,,,,,,,,,,lancaster:14mb15
earlysocogfm,s22,ADS,ADS3,8.0,10.82,15.0,noerror,,ET,TF & HRL,254.0,4.0,noerror,,,N,monolingual,english,100.0,,,,,caregiver,,F,some college/university,M,bachelor's degree,N,,N,N,N,,N,,,,,,,,,,,summer,white,M,,,,,,,no_beard,undergraduate,,,,,,not in session,,,earlysocogfm:s22
babylabnijmegen,ba01912,IDS,IDS1,1.0,6.66,908.0,noerror,,HPP,KM,323.0,1.0,noerror,fussy baby but data still usable we would say,child had rattling toy in hand during trial -2 to 5,N,monolingual,Dutch,100.0,,,,,caregiver,6.0,F,18.0,M,16.5,term,,N,N,N,,N,,3,F,,,,,,,0900,"fall,,,",,F,,,,,,,,,,,,,,,,,babylabnijmegen:ba01912
babylablmu,81,ADS,ADS1,2.0,4.0,10888.0,noerror,,Eyetracking,Anna,457.0,1.0,error,pilot participant,pilot participant,N,Monolingual,German,100.0,,,,,seat,8.0,F,18,M,18,term,,No,No,N,,N,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,babylablmu:81
nusinfantlanguagecentre,mb003,IDS,IDS6,13.0,,,error,,eye-tracking,shruthilaya R,392.0,3.0,noerror,,Premature baby,N,monolingual,english,92.0,mandarin,7.0,,,,,F,15.0,M,15.0,preterm,30.0,N,N,N,,N,,,,,,,,,,,,Chinese,F,,,,,,,,,,,,,,,,,nusinfantlanguagecentre:mb003
babylabumassb,mbpumb036112685,training,train2,-2.0,13.4333,18.0067,noerror,,Eyetracking,MC,377.0,4.0,noerror,,,N,monolingual,English,100.0,,,,,caregiver,5.5,F,18.0,M,18,term,,,N,N,,N,,,,,,,,,,,,White/Not hispanic,M,,,,,,,,,,,,,,,,,babylabumassb:mbpumb036112685
babylablmu,81,IDS,IDS2,3.0,1.48,208.0,error,fussy,Eyetracking,Anna,457.0,1.0,error,pilot participant,pilot participant,N,Monolingual,German,100.0,,,,,seat,8.0,F,18,M,18,term,,No,No,N,,N,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,babylablmu:81
unlvmusiclab,run004,ADS,ADS5,1.0,18.792,23.847,error,clicking sounds,SingleScreen,KN,178.0,4.0,error,Equipment Error,heard clicking sounds from camera (resolved after Run004),N,Monolingual,English,100.0,,,,,caregiver,6.0,F,13,M,18,term,,No,No,N,,N,,,,,,,,,,,,"White; Hispanic, Latino or Spanish origin; Asian; Native Hawaiian or Other Pacific Islander",F,,,,,,,,graduate,,,,,,,,,unlvmusiclab:run004
chosunbaby,h94y56,training,train2,-1.0,16.531,16.531,noerror,,HPP,KIM,183.0,4.0,noerror,,,N,monolingual,Korean,100.0,,,,,caregiver,,F,,M,,term,,yes,no,N,,N,,,,,,,,,,,Spring,Asian,M,,,,,,,no_beard,undergraduate,,,,,,,,,chosunbaby:h94y56
lscppsl,14lscppsl,ADS,ADS7,15.0,0.0,2010.0,noerror,,Eyetracking,Naomi,382.0,2.0,noerror,,moved too much no good data,N,monolingual,french,100.0,,,,,caregiver,,F,17,M,17,term,,N,N,N,,N,,9,F,7,FALSE,,,,,9h00,spring,,M,,,0.0,,,french,no_beard,postgraduate,"Morning-afternoon 16h daycare, 16h-20h nanny at the house, after 20h with parents",10,4.0,1h30,1h30,in session,2642462.0,1932235.0,lscppsl:14lscppsl
cfnuofn,cfnxpp12,IDS,IDS3,8.0,0.0,17.1,noerror,,Eyetracking,Alix,391.0,3.0,noerror,,Baby fussed out at end of experiment,Y,Monolingual,English,100.0,,,,,seat,,F,,M,,Term,0.0,no,no,no,,no,,10,M,8,F,,,,,1300.0,Summer,australian/japanese,F,,,,regularly,regularly,preferred,no_beard,postgraduate,"grandparents 1 day, every other day with mum",daily,4.0,60,30,not in session,89624.0,73.0,cfnuofn:cfnxpp12
cdcceu,mb15,training,train2,-1.0,4.554,18.01667,error,bad eye-tracking data,Eyetracking,"Mikolaj,Zsu",143.0,2.0,error,bad eyetracking data on almost all trials,"Mikolaj without beard. Zsu is a full-time employed RA, Mikolaj run the experiment. Zsu talked to the mum, gathered questionnaire data.",N,Monolingual,Hungarian,99.0,English,1.0,,,caregiver,,F,25,M,13,N,14.0,N,N,N,,N,,,,,,,,,,1400.0,Fall,,M,,,1.0,rarely,rarely,preferred,no_beard,other,With parent at home,22,2.0,30,60,,,,cdcceu:mb15
bllumanitoba,1327,ADS,ADS2,9.0,2.127,4.131,noerror,,HPP,Kelsey,446.0,3.0,noerror,,,N,monolingual,English,100.0,,,,,caregiver,6.0,F,16.0,F,12,term,,Y,N,N,,N,,,,,,,,,,1000.0,Summer,Caucasian-Filipino,M,,,100.0,regularly,regularly,preferred,no_beard,undergraduate,"Baby stayed at home with mom except for two months, when baby was around eleven months, when baby went to an English daycare fulltime.",,2.0,,,not in session,2239.0,316.0,bllumanitoba:1327
bounbcl,mb114,IDS,IDS3,5.0,5.36,9.16,noerror,,SingleScreen,Ceren,454.0,2.0,error,parental interference,Experiment ended early because infant fussed-out.,N,Monolingual,Turkish,90.0,Laz language,8.0,English,2.0,caregiver,7.0,F,15.0,M,17,term,,No,,No,,No,,,,,,,,,,1130.0,Winter,,F,,,,,,,no_beard,graduate,Mom,15 times a month,2.0,60.0,15.0,not in session,412.482,42.0,bounbcl:mb114
babylabumassb,mbpumb023062605,ADS,ADS5,2.0,1.06,18.0067,noerror,,Eyetracking,MC,195.0,3.0,noerror,,,N,monolingual,English,99.0,hebrew,1.0,,,caregiver,6.5,F,18.0,M,16,term,,N,N,N,,N,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,babylabumassb:mbpumb023062605
langlabucla,mb907,ADS,ADS-4,12.0,5.088,7.108,noerror,,HPP,VM,297.0,3.0,noerror,,,N,monolingual,English,100.0,,,,,caregiver,,F,16,M,16,term,,N,N,N,,N,,,,,,,,,,,,Caucasian,F,,,,,,,,,,,,,,,,,langlabucla:mb907
lppparisdescartes2,mb07at,IDS,IDS1,6.0,290.0,18.0,noerror,,HPP,,260.0,3.0,Noerror,,,N,monolingual,french,100.0,,,,,caregiver,,F,,M,,term,,no,no,no,,no,,13,M,13.0,M,,,,,,,,F,,,,,,,,,,,,,,,,,lppparisdescartes2:mb07at
isplabmcgill,m25,IDS,IDS2,9.0,,,error,experiment ended early,HPP,AJ,451.0,4.0,noerror,,Experiment ended early,N,monolingual,French,96.0,English,3.0,Spanish,0.0,caregiver,,F,23.0,M,21.0,term,,Y,N,N,,N,,,,,,,,,,1700.0,Winter,,M,,,,,,,no_beard,graduate,daycare,6.0,2.0,30,60,in session,,,isplabmcgill:m25
icclbc,6,ADS,ADS1,1.0,18.0,18.1,noerror,,Single Screen,Sophie,182.0,2.0,noerror,,,N,Monolingual,English,100.0,,,,,seat,,F,18.0,M,21.0,term,,N,N,N,,N,,3,M,,,,,,,1015.0,Fall,White,F,,,,,,,no_beard,graduate,,,,,,in session,113613.0,76.0,icclbc:6
infantllmadison,mb006,ADS,ADS4,7.0,,,error,experiment ended early,HPP,RR,356.0,2.0,noerror,,baby fussed out on trial 2,N,monolingual,English,99.0,Spanish,1.0,,,caregiver,6.0,F,18.0,M,16.0,term,,N,N,N,,N,,,,,,,,,,1100.0,Summer,White,F,,,,,,,no_beard,other,,,,,,not in session,12389.0,84.0,infantllmadison:mb006
ethosrennes,jy418,ADS,ADS5,10.0,0.0,5.35,error,equipment failure,Eyetracking,Chloe,168.0,2.0,error,equipment failure,problem with eyetracker,N,monolingual,french,99.0,italian,1.0,,,seat,,F,14,M,14,term,,N,N,N,,N,,,,,,,,,,1500.0,Winter,,F,,,,,,,no_beard,undergraduate,at home,,,1899-12-31 03:00:00,1899-12-31 00:30:00,,,,ethosrennes:jy418
babylablmu,32,IDS,IDS5,10.0,,,error,experiment ended early,Eyetracking,Anna,416.0,1.0,noerror,,"For 2-3 sec distracted, because brother in the room",N,Monolingual,German,95.0,English,5.0,,,caregiver,7.5,F,25,M,15,term,,No,No,N,,N,,1,M,,,,,,,,,,F,,,,,,,,,,,,,,,,,babylablmu:32
ldlottawa,mbms58,training,train1,-2.0,3.6383,6.2733,error,Participant,single screen,Angeline,594.0,3.0,error,Participant,"infant is preterm and too old for the study, 19 month 17 days, twin sister of MBMS57",N,Monolingual,English,100.0,,,,,Caregiver,,F,21,M,21,preterm,22.0,N,N,N,N,N,N,1.583,F,3,F,,,,,,spring,,F,,,,,,,no_beard,postgraduate,,,,,,in session,,,ldlottawa:mbms58
dcnlabtennessee,mb004,ADS,ADS1,6.0,0.0,18.03,error,,eye-tracking,LS,163.0,4.0,error,couldn't validate,,n,Monolingual,English,100.0,na,,na,,Caregiver,4.0,m,13,f,12,preterm,3.0,yes,no,no,,no,,na,na,na,na,na,na,na,na,,,white,f,,,,,,,,,,,,,,,,,dcnlabtennessee:mb004
purdueinfantspeech,4337,ADS,ADS2,9.0,0.77,2.77,noerror,,HPP,RAZ,338.0,3.0,error,wiggly after trial 10,,N,monolingual,English,90.0,Spanish,10.0,,,caregiver,,F,16,M,,full,0.0,0,No,N,,N,,4,M,,,,,,,,,White & Hispanic,M,,,,,,,,Graduate,,,,,,,,,purdueinfantspeech:4337
bchdosu,mb0043,ADS,ADS7,3.0,7.472,11.664,noerror,,SingleScreen,DR,216.0,3.0,noerror,,good,N,Monolingual,English,100.0,,,,,caregiver,7.0,F,20.0,M,20.0,term,,No,No,N,,N,,6.76,F,4.61,F,,,,,,Spring,Caucasian,M,,,,,,,no_beard,postgraduate,,,5.0,,,in session,,,bchdosu:mb0043
infantllmadison,mb022,training,training,-2.0,17.495,18.023,noerror,,HPP,SO,330.0,1.0,noerror,,"RA is a full time lab manager, post-undergrad",N,monolingual,English,100.0,,,,,caregiver,7.0,F,16.0,M,16.0,term,,N,N,N,,N,,,,,,,,,,1500.0,Summer,White,F,,,,,,,no_beard,other,,,,,,not in session,75364.0,80.0,infantllmadison:mb022
dcnlabtennessee,mb014,ADS,ADS1,1.0,12.65,18.032,noerror,,eye-tracking,LS,170.0,2.0,noerror,,,n,Monolingual,English,100.0,na,,na,,Caregiver,7.0,f,16,m,18,term,,no,no,no,,no,,na,na,na,na,na,na,na,na,,,white,m,,,,,,,,,,,,,,,,,dcnlabtennessee:mb014
langlabucla,mb1208,IDS,IDS-8,16.0,7.998,11.445,noerror,,HPP,VM,379.0,4.0,noerror,,,N,bilingual,English,80.0,Portuguese,20.0,,,caregiver,,F,19,M,16,term,,N,N,N,,N,,,,,,,,,,,,Caucasian,M,,,,,,,,,,,,,,,,,langlabucla:mb1208
babylableiden,mb11b,IDS,IDS4,11.0,3.72,8.03,noerror,,HPP,Anna,324.0,3.0,noerror,,,N,Monolingual,Dutch,95.0,English,5.0,,,caregiver,8.0,F,20.0,M,24,term,,Y,N,N,,N,,,,,,,,,,,,,M,,,,,,,,undergraduate,,,,,,,,,babylableiden:mb11b
udssaarland,16,ADS,ADS-6,15.0,3.3227407932,5.3412938118,noerror,,SingleScreen,Exp1,270.0,4.0,noerror,,,N,monolingual,German,100.0,,,,,caregiver,7.0,F,20,M,12,term,,N,N,N,,N,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,udssaarland:16
bcrlunlv,mb2601,IDS,IDS3,6.0,1.267,3.767,noerror,,SingleScreen,YR,387.0,1.0,noerror,,,N,monolingual,Estonian,95.0,English,5.0,,,caregiver,,F,18.0,M,18,term,,N,N,N,,N,,,,,,,,,,,Summer,Caucasian,F,,,,,,,no_beard,undergraduate,,,,,,,,,bcrlunlv:mb2601
langlabucla,mb331,IDS,IDS-3,8.0,5.808,8.437,noerror,,HPP,VM,154.0,3.0,noerror,,,N,monolingual,English,100.0,,,,,caregiver,,F,16,M,16,term,,N,N,N,,N,,,,,,,,,,,,Caucasian,F,,,,,,,,,,,,,,,,,langlabucla:mb331
babylabpotsdam,b6833,ADS,ADS7,3.0,2.991,2.991,noerror,,HPP,Nina,364.0,3.0,noerror,,good,N,monolingual,German,100.0,,,,,caregiver,7.0,F,12.0,M,12,preterm,7.0,N,N,N,,N,,,,,,,,,,09:30:00,spring,,M,,,,,,,no_beard,,,,,,,,,,babylabpotsdam:b6833
babylabbrookes,mb64,IDS,IDS5,1.0,16.27,,noerror,,Single Screen,N1,120.0,3.0,noerror,,,N,Monolingual,English,100.0,,,,,caregiver,,F,12.0,M,16,term,,No,No,N,,N,,,,,,,,,,,,,M,,,,,,,no_beard,postgraduate,Family,,,,,,,,babylabbrookes:mb64
icclbc,7,Training,Training,-1.0,0.4,2.516,noerror,,Single Screen,Sophie,182.0,3.0,noerror,,,N,Monolingual,English,100.0,,,,,seat,,F,21.0,M,21.0,term,,N,N,N,,N,,,,,,,,,,1030.0,Fall,White,M,,,,,,,no_beard,graduate,,,,,,in session,130155.0,49.0,icclbc:7
earlysocogfm,s01,IDS,IDS8,16.0,,,error,,ET,TF & HL,444.0,1.0,error,"baby knocked off eye tracker in the beginning, put it back on but I believe data was not captured",,N,monolingual,english,100.0,,,,,caregiver,,F,bachelor’s degree,M,other: juris doctor degree,term,,N,N,N,,N,,,,,,,,,,,summer,white,M,,,,,,,no_beard,undergraduate,,,,,,not in session,,,earlysocogfm:s01
bchdosu,mb0056,ADS,ADS7,3.0,14.877,17.791,noerror,,SingleScreen,DR,332.0,3.0,noerror,,"did ok, slightly innatentive",N,Monolingual,English,100.0,,,,,caregiver,7.0,F,16.0,M,16.0,term,,No,No,N,,N,,,,,,,,,,,Spring,Caucasian,F,,,,,,,no_beard,postgraduate,,,4.0,,,in session,,,bchdosu:mb0056
chosunbaby,h08y06,training,train1,-2.0,6.512,6.512,error,infant too old,HPP,NAM,274.0,3.0,noerror,,over 9 months,N,monolingual,Korean,100.0,,,,,caregiver,,F,,M,,term,,no,no,N,,N,,,,,,,,,,,Summer,Asian,M,,,,,,,no_beard,postgraduate,,,,,,,,,chosunbaby:h08y06
babylabprinceton,manybabies021,ADS,ADS6,11.0,,,error,experiment ended early,HPP,EF,453.0,1.0,noerror,,"RA is a full time lab manager, post-undergrad",N,monolingual,English,99.0,Hungarian,1.0,,,caregiver,6.0,F,18.0,M,16,Y,12.0,N,N,N,,N,,,,,,,,,,0930,Fall,white,F,,,,,,,no_beard,other,at home with parent,24.0,2.0,1.0,3.0,in session,46650.0,80.0,babylabprinceton:manybabies021
chosunbaby,h74o26,ADS,ADS3,8.0,5.671,5.671,noerror,,HPP,NAM,401.0,4.0,noerror,,,N,monolingual,Korean,100.0,,,,,caregiver,,F,,M,,term,,no,no,N,,N,,,,,,,,,,,Winter,Asian,F,,,,,,,no_beard,postgraduate,,,,,,,,,chosunbaby:h74o26
ldlottawa,mbms39,training,train1,-2.0,3.3366,6.84,noerror,,single screen,JP,480.0,4.0,error,Participant,"infant is too old for the study, infant fussed out and didn't complete the experiment, 15 month 23 days",N,Monolingual,English,100.0,,,,,Caregiver,,M,17,,,,,N,N,N,N,N,N,4,M,,,,,,,,winter,,M,,,,,,,beard,postgraduate,,,,,,in session,,,ldlottawa:mbms39
islnotredame,p34mb17,ADS,ADS8,15.0,0.888,2.9,noerror,,HPP,JH,381.0,1.0,noerror,,"RA is a full time lab manager, post-undergrad",N,monolingual,English,100.0,,,,,Caregiver,7.0,F,18.0,M,16.0,term,,N,N,N,,N,,5,M,9,M,,,,,1100.0,Summer,Black or African American/White,M,,,,,,,no_beard,other,,,4.0,,,in session,,,islnotredame:p34mb17
infantstudiesubc,mbm16,IDS,IDS6,14.0,4.971633333,8.2082,noerror,,Headturn,Alexis,253.0,3.0,error,ineligible,"Baby was run as a pilot baby in the Hamlin lab prior testing so had heard stimuli before. Baby looked to back wall and corner often, making coding Away and Look difficult ; Trial 9 experimenter error - trial ends but baby looked away less than 2 seconds",N,Monolingual,English,99.0,Other,1.0,,,Caregiver,,F,20.0,M,20.0,Term,,N,N,N,N,N,N,,,,,,,,,,,European,F,,,,,,,,Graduate,,,,,,,57038.0,31.0,infantstudiesubc:mbm16
callab,callab43,ADS,ADS2,9.0,2.698486328125,6.64607238769531,noerror,,eye-tracking,Ben,409.0,3.0,noerror,,,N,Monolingual,English,95.0,,,,,Caregiver,,F,18,,18,Term,,Y,N,N,,N,,,,,,,,,,,,Caucasian,F,,,,,,,,staff,,,,,,,,,callab:callab43
langlabucla,mb920,IDS,IDS-2,9.0,3.92,5.933,noerror,,HPP,VM,345.0,4.0,noerror,,,N,monolingual,English,90.0,Vietnamese,9.0,,,caregiver,,F,16,M,16,term,,N,N,N,,N,,,,,,,,,,,,Asian,M,,,,,,,,,,,,,,,,,langlabucla:mb920
babylabprinceton,manybabies013,IDS,IDS7,13.0,,,error,experiment ended early,HPP,EF,105.0,1.0,noerror,,"RA is a full time lab manager, post-undergrad",N,monolingual,British English,100.0,,,,,caregiver,9.0,F,18.0,M,18,N,,N,N,N,,N,,,,,,,,,,1400,Fall,white,M,,,,,,,no_beard,other,at home with nanny 15 hrs/week and at home with mom/dad otherwise,20.0,2.0,1.0,0.5,in session,44430.0,79.0,babylabprinceton:manybabies013
socialcogumiami,1132,ADS,ADS4,7.0,,,error,experiment ended early,Eyetracking,Roberto,175.0,2.0,noerror,,,N,Monolingual,English,90.0,Spanish,10.0,,,caregiver,,F,16,M,16,preterm,10.0,No,No,N,,N,,,,,,,,,,,Spring,"White, Hispanic",F,,,,,,,beard,undergraduate,,,,,,not in session,,,socialcogumiami:1132
chosunbaby,h83o32,training,train1,-2.0,10.447,10.447,noerror,,HPP,KIM,375.0,1.0,noerror,,,N,monolingual,Korean,100.0,,,,,caregiver,,F,16,M,16,term,,no,no,N,,N,,,,,,,,,,,Spring,Asian,M,,,,,,,no_beard,undergraduate,,,,,,,,,chosunbaby:h83o32
